Question;Option A;Option B;Option C;Option D;Answer;Annex
"ALW-001 - Which of the following documents have to be on board for an international flight?
a) Certificate of aircraft registration
b) Certificate of airworthiness
c) Airworthiness review certificate
d) EASA Form-1
e) Airplane logbook
f) Appropriate papers for every crew member
g) Technical logbook";b, c, d, e, f, g;a, b, c, e, f;a, b, e, g;d, f, g;a, b, c, e, f;
ALW-002 - Which area could be crossed with certain restrictions?;No-fly zone;Restricted area;Prohibited area;Dangerous area;Restricted area;
ALW-003 - Where can the type of restriction for a restricted airspace be found?;NOTAM;AIC;ICAO chart 1:500000;AIP;AIP;
ALW-004 - What is the status of the rules and procedures created by the EASA? (e.g. Part-SFCL, Part-MED);They have the same status as ICAO Annexes;Only after a ratification by individual EU member states they are legally binding;They are not legally binding, they only serve as a guide;They are part of the EU regulation and legally binding to all EU member states;They are part of the EU regulation and legally binding to all EU member states;
"ALW-005 - What is the validity of the ""Certificate of Airworthiness""?";6 months;12 years;Unlimited;12 months;Unlimited;
"ALW-006 - What is the meaning of the abbreviation ""ARC""?";Airworthiness Recurring Control;Airspace Rulemaking Committee;Airspace Restriction Criteria;Airworthiness Review Certificate;Airworthiness Review Certificate;
"ALW-007 - The ""Certificate of Airworthiness"" is issued by the state...";in which the aircraft is registered.;of the residence of the owner.;in which the aircraft is constructed.;in which the airworthiness review is done.;in which the aircraft is registered.;
ALW-008 - A pilot license issued in accordance with ICAO Annex 1 is valid in...;those countries that have accepted this license on application.;the country where the license was issued.;all ICAO countries.;the country where the license was acquired.;all ICAO countries.;
ALW-009 - What is the subject of ICAO Annex 1?;Air traffic services;Flight crew licensing;Rules of the air;Operation of aircraft;Flight crew licensing;
ALW-010 - What is the period of validity of a private pilot license (PPL)?;Unlimited;24 months;48 months;60 months;Unlimited;
ALW-011 - What is the minimum age to obtain a private pilot license?;17 years;21 years;16 years;18 years;17 years;
