Question;Option A;Option B;Option C;Option D;Answer;Annex;Unnamed: 7
HPL-001 - The majority of aviation accidents are caused by...;technical failure.;meteorological influences.;geographical influences.;human failure.;human failure.;;
"HPL-002 - The ""swiss cheese model"" can be used to explain the...";error chain.;procedure for an emergency landing.;optimal problem solution.;state of readiness of a pilot.;error chain.;;
HPL-003 - What is the percentage of oxygen in the atmosphere at 6000 ft?;21 %;12 %;78 %;18.9 %;21 %;;
HPL-004 - What is the percentage of nitrogen in the atmosphere?;1 %;21 %;78 %;0.1 %;78 %;;
HPL-005 - At which altitude is the atmospheric pressure approximately half the MSL value (1013 hPa)?;18000 ft;5000 ft;10000 ft;22000 ft;18000 ft;;
"HPL-006 - Air consists of oxygen, nitrogen and other gases.
What is the approximate percentage of other gases?";0.1 %;78%;1%;21%;1%;;
HPL-007 - Carbon monoxide poisoning can be caused by...;little sleep.;alcohol.;smoking.;unhealthy food.;smoking.;;
"HPL-008 - What does the term ""Red-out"" mean?";Red vision during negative g-loads;Rash during decompression sickness;Anaemia caused by an injury;Falsified colour perception during sunrise and sunset;Red vision during negative g-loads;;
HPL-009 - Carbon monoxide poisoning can be caused by...;fuel or hydraulic fluids.;generator failure.;cracks in the heat exchanger.;Pitot icing.;cracks in the heat exchanger.;;
HPL-010 - Which of the following is NOT a symptom of hyperventilation?;Cyanose;Tingling;Spasm;Disturbance of consciousness;Cyanose;;
HPL-011 - Which of the following symptoms may indicate hypoxia?;Joint pain in knees and feet;Muscle cramps in the upper body area;Blue discolouration of lips and fingernails;Blue marks all over the body;Blue discolouration of lips and fingernails;;
HPL-012 - Which of the human senses is most influenced by hypoxia?;The olfactory perception (smell);The tactile perception (sense of touch);The auditory perception (hearing);The visual perception (vision);The visual perception (vision);;
HPL-013 - From which altitude on does the body usually react to the decreasing atmospheric pressure?;2000 feet;7000 feet;10000 feet;12000 feet;7000 feet;;
HPL-014 - Which altitude marks the lower limit where the body is unable to completely compensate the effects of the low atmospheric pressure?;12000 feet;22000 feet;5000 feet;7000 feet;12000 feet;;
HPL-015 - What is the function of the red blood cells (erythrocytes)?;Oxygen transport;Blood coagulation;Immune defense;Blood sugar regulation;Oxygen transport;;
HPL-016 - Which of the following is responsible for the blood coagulation?;Red blood cells (erythrocytes);Capillaries of the arteries;White blood cells (leucocytes);Blood plates (thrombocytes);Blood plates (thrombocytes);;
HPL-017 - What is the function of the white blood cells (leucocytes)?;Oxygen transport;Blood coagulation;Blood sugar regulation;Immune defense;Immune defense;;
HPL-018 - What is the function of the blood platelets (thrombocytes)?;Immune defense;Blood coagulation;Blood sugar regulation;Oxygen transport;Blood coagulation;;
