Question;Option A;Option B;Option C;Option D;Answer;Annex
What clouds and weather may result from an humid and instable air mass, that is pushed against a chain of mountains by the predominant wind and forced to rise?;Embedded CB with thunderstorms and showers of hail and/or rain.;Thin Altostratus and Cirrostratus clouds with light and steady precipitation.;Overcast low stratus (high fog) with no precipitation.;Smooth, unstructured NS cloud with light drizzle or snow (during winter).;Embedded CB with thunderstorms and showers of hail and/or rain.;
What type of fog emerges if humid and almost saturated air, is forced to rise upslope of hills or shallow mountains by the prevailing wind?;Orographic fog;Steaming fog;Radiation fog;Advection fog;Orographic fog;
"What situation is called ""over-development"" in a weather report?";Vertical development of Cumulus clouds to rain showers;Widespreading of Cumulus clouds below an inversion layer;Change from blue thermals to cloudy thermals during the afternoon;Development of a thermal low to a storm depression;Vertical development of Cumulus clouds to rain showers;
"What is the gas composition of ""air""?";Oxygen 21 % Water vapour 78 % Noble gases / carbon dioxide 1 %;Oxygen 78 % Water vapour 21 % Nitrogen 1 %;Nitrogen 21 % Oxygen 78 % Noble gases / carbon dioxide 1 %;Oxygen 21 % Nitrogen 78 % Noble gases / carbon dioxide 1 %;Oxygen 21 % Nitrogen 78 % Noble gases / carbon dioxide 1 %;
Weather phenomena are most common to be found in which atmospheric layer?;Stratosphere;Tropopause;Thermosphere;Troposphere;Troposphere;
"What is the mass of a ""cube of air"" with the edges 1 m long, at MSL according ISA?";1,225 kg;0,01225 kg;0,1225 kg;12,25 kg;1,225 kg;
At what rate does the temperature change with increasing height according to ISA (ICAO Standard Atmosphere) within the troposphere?;Decreases by 2° C / 1000 ft;Increases by 2° C / 1000 ft;Decreases by 2° C / 100 m;Increases by 2° C / 100 m;Decreases by 2° C / 1000 ft;
What is the mean height of the tropopause according to ISA (ICAO Standard Atmosphere)?;18000 ft;11000 ft;11000 m;36000 m;11000 m;
"The term ""tropopause"" is defined as...";the layer above the troposphere showing an increasing temperature.;the boundary area between the mesosphere and the stratosphere.;the boundary area between the troposphere and the stratosphere.;the height above which the temperature starts to decrease.;the boundary area between the troposphere and the stratosphere.;
Temperatures will be given by meteorological aviation services in Europe in which unit?;Degrees Centigrade (° C);Kelvin;Gpdam;Degrees Fahrenheit;Degrees Centigrade (° C);
"What is meant by ""inversion layer""?";An atmospheric layer where temperature decreases with increasing height;An atmospheric layer with constant temperature with increasing height;A boundary area between two other layers within the atmosphere;An atmospheric layer where temperature increases with increasing height;An atmospheric layer where temperature increases with increasing height;
"What is meant by ""isothermal layer""?";An atmospheric layer where temperature increases with increasing height;An atmospheric layer where temperature decreases with increasing height;A boundary area between two other layers within the atmosphere;An atmospheric layer with constant temperature with increasing height;An atmospheric layer with constant temperature with increasing height;
The temperature lapse rate with increasing height within the troposphere according ISA is...;0,65° C / 100 m.;3° C / 100 m.;1° C / 100 m.;0,6° C / 100 m.;0,65° C / 100 m.;
Which process may result in an inversion layer at about 5000 ft (1500 m) height?;Intensive sunlight insolation during a warm summer day;Widespread descending air within a high pressure area;Ground cooling by radiation during the night;Advection of cool air in the upper troposphere;Widespread descending air within a high pressure area;
An inversion layer close to the ground can be caused by...;ground cooling during the night.;large-scale lifting of air.;intensifying and gusting winds.;thickening of clouds in medium layers.;ground cooling during the night.;
What is the ISA standard pressure at FL 180 (5500 m)?;250 hPa;300 hPa;1013.25 hPa;500 hPa;500 hPa;
The pressure which is measured at a ground station and reduced to mean sea level (MSL) by means of the actual atmospheric conditions is called...;QNH.;QNE.;QFE.;QFF.;QFF.;
Which processes result in decreasing air density?;Decreasing temperature, increasing pressure;Increasing temperature, decreasing pressure;Increasing temperature, increasing pressure;Decreasing temperature, decreasing pressure;Increasing temperature, decreasing pressure;
The pressure at MSL in ISA conditions is...;113.25 hPa.;15 hPa.;1013.25 hPa.;1123 hPa.;1013.25 hPa.;
