Question;Option A;Option B;Option C;Option D;Answer;Annex
COM-001 - In which situations should a pilot use blind transmissions?;When no radio communication can be established with the appropriate aeronautical station, but when evidence exists that transmissions are received at that ground unit;When a pilot has flown into cloud or fog unintentionally and therefore would like to request navigational assistance from a ground unit;When a transmission containing important navigational or technical information is to be sent to several stations at the same time;When the traffic situation at an airport allows the transmission of information which does not need to be acknowledged by the ground station;When no radio communication can be established with the appropriate aeronautical station, but when evidence exists that transmissions are received at that ground unit;
COM-002 - Leaving a control frequency (except when reaching the final parking position)...;is not mandatory to be reported.;must be approved twice.;must be approved.;must be reported.;must be approved.;
"COM-003 - Which abbreviation is used for the term ""abeam""?";ABM;ABB;ABA;ABE;ABM;
"COM-004 - Which abbreviation is used for the term ""visual flight rules""?";VFS;VFR;VRU;VMC;VFR;
"COM-005 - Which abbreviation is used for the term ""obstacle""?";OBTC;OBST;OST;OBS;OBST;
"COM-006 - What does the abbreviation ""FIS"" stand for?";Flashing information service;Flight information system;Flashing information system;Flight information service;Flight information service;
"COM-007 - What does the abbreviaton ""FIR"" stand for?";Flight integrity receiver;Flow information radar;Flight information region;Flow integrity required;Flight information region;
"COM-008 - What does the abbreviation ""H24"" stand for?";Sunrise to sunset;24 h service;No specific opening times;Sunset to sunrise;24 h service;
"COM-009 - What does the abbreviation ""HX"" stand for?";No specific opening hours;Sunrise to sunset;Sunset to sunrise;24 h service;No specific opening hours;
COM-010 - The altimeter has to be set to what value in order to show zero on ground?;QNH;QNE;QTE;QFE;QFE;
COM-011 - Which altitude is displayed on the altimeter when set to a specific QNH?;Altitude in relation to the 1013.25 hPa datum;Altitude in relation to mean sea level;Altitude in relation to the air pressure at the reference airfield;Altitude in relation to the highest elevation within 10 km;Altitude in relation to mean sea level;
COM-012 - Which altitude is displayed on the altimeter when set to a specific QFE?;Altitude in relation to the 1013.25 hPa datum;Altitude in relation to the air pressure at the reference airfield;Altitude in relation to the highest elevation within 10 km;Altitude in relation to mean sea level;Altitude in relation to the air pressure at the reference airfield;
"COM-013 - What does the abbreviation ""QDR"" stand for?";True bearing from the station;Magnetic bearing from the station;Magnetic bearing to the station;True bearing to the station;Magnetic bearing from the station;
"COM-014 - What does the abbreviation ""QUJ"" stand for?";True bearing from the station;True bearing to the station;Magnetic bearing to the station;Magnetic bearing from the station;True bearing to the station;
"COM-015 - What does the abbreviation ""QTE"" stand for?";Magnetic bearing to the station;Magnetic bearing from the station;True bearing from the station;True bearing to the station;True bearing from the station;
COM-016 - Which Q-code is used for the magnetic bearing from the station?;QUJ;QTE;QDM;QDR;QDR;
COM-017 - Which Q-code is used for the true bearing from the station?;QDR;QUJ;QDM;QTE;QTE;
COM-018 - Which Q-code is used for the true bearing to the station?;QDR;QDM;QTE;QUJ;QUJ;
COM-019 - Which of the listed radiotelephony messages has a higher priority than a flight safety message?;Communication related to direction finding;Flight regularity message;Meteorological message;Aircraft position report message;Communication related to direction finding;
COM-020 - What is the correct term for a message used for air traffic control?;Flight regularity message;Meteorological message;Message related to direction finding;Flight safety message;Flight safety message;
COM-021 - Distress messages are messages...;concerning the safety of an aircraft, a watercraft or some other vehicle or person in sight.;sent by a pilot or an aircraft operating agency which have an imminent meaning for aircraft in flight.;concerning aircraft and their passengers which face a grave and imminent threat and require immediate assistance.;concerning the operation or maintenance of facilities which are important for the safety and regularity of flight operations.;concerning aircraft and their passengers which face a grave and imminent threat and require immediate assistance.;
COM-022 - Urgency messages are messages...;concerning aircraft and their passengers which face a grave and imminent threat and require immediate assistance.;concerning the safety of an aircraft, a watercraft or some other vehicle or person in sight.;concerning the operation or maintenance of facilities essential for the safety or regularity of aircraft operation.;sent by a pilot or an aircraft operating agency which have an imminent meaning for aircraft in flight.;concerning the safety of an aircraft, a watercraft or some other vehicle or person in sight.;
COM-023 - Regularity messages are messages...;concerning the safety of an aircraft, a watercraft or some other vehicle or person in sight.;concerning aircraft and their passengers which face a grave and imminent threat and require immediate assistance.;sent by an aircraft operating agency or an aircraft of immediate concern to an aircraft in flight.;concerning the operation or maintenance of facilities essential for the safety or regularity of aircraft operation.;concerning the operation or maintenance of facilities essential for the safety or regularity of aircraft operation.;
COM-024 - Which of the following messages has the highest priority?;Turn left;Request QDM;QNH 1013;Wind 300 degrees, 5 knots;Request QDM;
COM-025 - What is the correct way to transmit the call sign HB-YKM?;Home Bravo Yuliett Kilo Mike;Hotel Bravo Yankee Kilo Mike;Hotel Bravo Yuliett Kilo Mikro;Home Bravo Yankee Kilo Mikro;Hotel Bravo Yankee Kilo Mike;
COM-026 - What is the correct way to transmit the call sign OE-JVK?;Omega Echo Jankee Victor Kilo;Oscar Echo Jankee Victor Kilogramm;Oscar Echo Juliett Victor Kilo;Omega Echo Juliett Victor Kilogramm;Oscar Echo Juliett Victor Kilo;
COM-027 - An altitude of 4500 ft is transmitted as...;four tousand five hundred.;four five tousand.;four tousand five zero zero.;four five zero zero.;four tousand five hundred.;
COM-028 - A heading of 285 degrees is correctly transmitted as...;two eight five.;two eight five hundred.;two hundred eight five.;two hundred eighty-five.;two eight five.;
COM-029 - A frequency of 119.500 MHz is correctly transmitted as...;one one niner tousand decimal five zero.;one one niner decimal five.;one one niner decimal five zero.;one one niner decimal five zero zero.;one one niner decimal five.;
"COM-030 - The directional information ""12 o'clock"" is correctly transmitted as...";One two.;One two o'clock.;One two hundred.;Twelve o'clock.;Twelve o'clock.;
COM-031 - Times are transmitted as...;UTC.;standard time.;local time.;time zone time.;UTC.;
COM-032 - If there is any doubt about ambiguity, a time of 1620 is to be transmitted as...;sixteen twenty.;two zero.;one tousand six hundred two zero.;one six two zero.;one six two zero.;
"COM-033 - What is the meaning of the phrase ""Roger""?";Permission for proposed action is granted;I understand your message and will comply with it;I have received all of your last transmission;An error has been made in this transmission. The correct version is...;I have received all of your last transmission;
"COM-034 - What is the meaning of the phrase ""Correction""?";Permission for proposed action is granted;An error has been made in this transmission. The correct version is...;I have received all of your last transmission;I understand your message and will comply with it;An error has been made in this transmission. The correct version is...;
"COM-035 - What is the meaning of the phrase ""Approved""?";I have received all%;I understand your message and will comply with it;Permission for proposed action is granted;An error has been made in this transmission. The correct version is...;Permission for proposed action is granted;
COM-036 - Which phrase does a pilot use when he / she wants to check the readability of his / her transmission?;What is the communication like?;How do you read?;Request readability;You read me five;How do you read?;
COM-037 - Which phrase is used by a pilot when he wants to fly through controlled airspace?;Apply;Want;Would like;Request;Request;
"COM-038 - What phrase is used by a pilot if a transmission is to be answered with ""yes""?";Roger;Yes;Affirm;Affirmative;Affirm;
"COM-039 - What phrase is used by a pilot if a transmission is to be answered with ""no""?";Negative;Not;Finish;No;Negative;
COM-040 - Which phrase is to be used when a pilot wants the tower to know that he is ready for take-off?;Ready for start-up;Ready for departure;Request take-off;Ready;Ready for departure;
COM-041 - What phrase is used by a pilot to inform the tower about a go-around?;No landing;Pulling up;Going around;Approach canceled;Going around;
COM-042 - What is the call sign of the aerodrome control?;Tower;Airfield;Ground;Control;Tower;
COM-043 - What is the call sign of the surface movement control?;Tower;Earth;Ground;Control;Ground;
COM-044 - What is the call sign of the flight information service?;Info;Advice;Flight information;Information;Information;
COM-045 - What is the correct abbreviation of the call sign D-EAZF?;DEA;AZF;DZF;DEF;DZF;
COM-046 - In what case is the pilot allowed to abbreviate the call sign of his aircraft?;After the ground station has used the abbreviation;Within controlled airspace;If there is little traffic in the traffic circuit;After passing the first reporting point;After the ground station has used the abbreviation;
COM-047 - What is the correct way of using the aircraft call sign at first contact?;Using the first two characters only;Using the last two characters only;Using the first three characters only;Using all characters;Using all characters;
COM-048 - What is the correct way of establishing radio communication between D-EAZF and Dusseldorf Tower?;Dusseldorf Tower over;DEAZF is calling Dusseldorf Tower;Dusseldorf Tower D-EAZF;Tower from D-EAZF;Dusseldorf Tower D-EAZF;
"COM-049 - What is the correct way of acknowledging the instruction ""Call Hamburg Tower on 121.275""?";Call 121.275;Call tower;121.275;Call tower on 121.275;121.275;
COM-050 - What does a readability of 1 indicate?;The transmission is perfectly readable;The transmission is unreadable;The transmission is readable but with difficulty;The transmission is readable now and then;The transmission is unreadable;
COM-051 - What does a readability of 2 indicate?;The transmission is readable now and then;The transmission is readable but with difficulty;The transmission is perfectly readable;The transmission is unreadable;The transmission is readable now and then;
COM-052 - What does a readability of 3 indicate?;The transmission is readable now and then;The transmission is perfectly readable;The transmission is readable but with difficulty;The transmission is unreadable;The transmission is readable but with difficulty;
COM-053 - What does a readability of 5 indicate?;The transmission is readable now and then;The transmission is readable but with difficulty;The transmission is unreadable;The transmission is perfectly readable;The transmission is perfectly readable;
COM-054 - Which information from a ground station does not require readback?;Runway in use;Wind;SSR-Code;Altitude;Wind;
COM-055 - Which information from a ground station does not require readback?;Altimeter setting;Traffic information;Taxi instructions;Heading;Traffic information;
"COM-056 - What is the correct way of acknowledging the instruction ""DZF after lift-off climb straight ahead until 2500 feet before turning right heading 220 degrees, wind 090 degrees, 5 knots, runway 12, cleared for take-off""?";DZF after lift-off climb straight ahead 2500 feet, wilco, heading 220 degrees, 090 degrees, 5 knots, cleared for take-off;DZF after lift-off climb straight ahead 2500 feet, then turn right heading 220, runway 12, cleared for take-off;DZF after lift-off climb straight ahead 2500 feet, then turn right heading 220, 090 degrees, 5 knots;DZF after lift-off climb straight ahead 2500 feet, then turn right heading 220, 090 degrees, 5 knots, cleared for take-off;DZF after lift-off climb straight ahead 2500 feet, then turn right heading 220, runway 12, cleared for take-off;
"COM-057 - What is the correct way of acknowledging the instruction ""Next report PAH""?";Positive;Roger;Report PAH;Wilco;Wilco;
"COM-058 - What is the correct way of acknowledging the instruction ""Squawk 4321, Call Bremen Radar on 131.325""?";Roger;Squawk 4321, wilco;Squawk 4321, 131.325;Wilco;Squawk 4321, 131.325;
"COM-059 - What is the correct way of acknowledging ""You are now entering airspace Delta""?";Entering;Roger;Wilco;Airspace Delta;Roger;
"COM-060 - What does a cloud coverage of ""FEW"" mean in a METAR weather report?";8 eighths;1 to 2 eighths;5 to 7 eighths;3 to 4 eighths;1 to 2 eighths;
"COM-061 - What does a cloud coverage of ""SCT"" mean in a METAR weather report?";1 to 2 eighths;8 eighths;3 to 4 eighths;5 to 7 eighths;3 to 4 eighths;
"COM-062 - What does a cloud coverage of ""BKN"" mean in a METAR weather report?";3 to 4 eighths;8 eighths;5 to 7 eighths;1 to 2 eighths;5 to 7 eighths;
COM-063 - Given a visibility of 12 km, what is the correct way to transmit this visibility?;One-two kilometers.;Twelve kilometers.;One-zero kilometers or more.;One-zero kilometers.;One-zero kilometers or more.;
COM-064 - In what case is visibility transmitted in meters?;Up to 5 km;Greater than 10 km;Greater than 5 km;Up to 10 km;Up to 5 km;
COM-065 - In what cases is visibility transmitted in kilometers?;Up to 10 km;Greater than 5 km;Up to 5 km;Greater than 10 km;Greater than 5 km;
COM-066 - What information is broadcasted on a VOLMET frequency?;Navigational information;NOTAMS;Current information;Meteorological information;Meteorological information;
COM-067 - Which navigation facility may be used for broadcasting the ATIS?;GPS;DME;NDB;VOR;VOR;
COM-068 - How can you obtain meteorological information concerning airports during a cross-country flight?;VOLMET;GAMET;METAR;AIRMET;VOLMET;
COM-069 - Which transponder code indicates a radio failure?;7700;7600;7500;7000;7600;
COM-070 - What is the correct phrase to begin a blind transmission?;Blind;Transmitting blind;No reception;Listen;Transmitting blind;
