Question;Option A;Option B;Option C;Option D;Answer;Annex
"OPR-001 - The term ""flight time"" is defined as...";the period from the start of the take-off run to the final touchdown when landing.;the total time from the first aircraft movement until the moment it finally comes to rest at the end of the flight.;the period from engine start for the purpose of taking off to leaving the aircraft after engine shutdown.;the total time from the first take-off until the last landing in conjunction with one or more consecutive flights.;the total time from the first aircraft movement until the moment it finally comes to rest at the end of the flight.;
OPR-002 - What should be considered regarding a scheduled flight over water, when land cannot be reached in case of an emergency landing?;Transponder code 7600 has to be set during the whole flight;Contact to the nearest ATC shall consist during the whole flight;For all passengers there must be life jackets or lifeboats present;The flight plan has to contain the exact waypoints;For all passengers there must be life jackets or lifeboats present;
OPR-003 - Which of the items below may have an influence on the noise perceived by a person on the ground? 1) Engine power setting 2) Propeller revolutions per minute 3) Position of the landing gear 4) Flap position 5) Flight track 6) Height above ground 7) Flight rules;1, 2, 3, 4, 5, 6;1, 5, 6;1, 5, 6, 7;3, 4, 5, 6, 7;1, 2, 3, 4, 5, 6;
OPR-004 - How can the pilot of an engine-driven aircraft minimise the noise emission during descent and approach?;Normal approach with normal power setting, configuration prior to initiating descent, shortest possible arrival route;Descent and approach in landing configuration while maintaining a descent angle of 3°, direct approach whenever possible;Low approach with minimum power setting, late configuration and steep approach, adherence to established arrival routes;High approach with minimum power setting, late descent, late configuration, adherence to established arrival routes;High approach with minimum power setting, late descent, late configuration, adherence to established arrival routes;
OPR-005 - When should turns at low altitudes above villages be avoided with regard to noise abatement procedures?;In descent;In climb;During the approach;In horizontal flight;In climb;
OPR-006 - How should departures near villages be carried out?;Slow with a low propeller rotation speed;Low and fast between the villages;Climb and changes in direction should be done as slow as possible;Villages should be circumnavigated and crossed in a sufficient altitude;Villages should be circumnavigated and crossed in a sufficient altitude;
OPR-007 - Which kind of engine is susceptible to carburettor fire?;Piston engines;Turbine engines;Electric motors;Turboprop engines;Piston engines;
OPR-008 - Why is it dangerous to pump the throttle for engine start in cold weather?;It may cause a carburettor fire;Carburettor icing can occur;The engine might start with not enough power;The oil will become diluted;It may cause a carburettor fire;
OPR-009 - Which danger exists during engine start?;Cable fire;Carburettor fire;Sparking;Smoke emission;Carburettor fire;
OPR-010 - May an engine, which previously was on fire, be restarted?;No, the risk of a reignition of the fire would be too high;Yes, if the aircraft is flying at a safe altitude;Yes, but only on the ground for the purpose of taxiing;Yes, but only if the cause of the fire was a carburettor fire during engine start;No, the risk of a reignition of the fire would be too high;
OPR-011 - Which gas is most dangerous during an engine fire?;Carbon monoxide;Nitrogen;Oxygen;Carbon dioxide;Carbon monoxide;
OPR-012 - Smoke enters the cockpit during an engine fire. Which actions have to be taken immediately?;Switching off the master switch and the ignition;Switching off the heating and the ventilating system;Switching off the pitot and front window heating;Switching off the avionics and the cabin lighting;Switching off the heating and the ventilating system;
