Question;Option A;Option B;Option C;Option D;Answer;Annex;Unnamed: 7;Unnamed: 8;Unnamed: 9
FPP-001 - A flight plan has been filed for a flight departing at an uncontrolled aerodrome. When has the actual take-off time been transmitted to ATC?;Upon request from ATC.;When landing is assured.;Immediately after take-off.;At deviation from expected off-block time by more than 15 min.;Immediately after take-off.;;;;
FPP-002 - During a flight with a flight plan submitted, landing is conducted at an airfield other than the destination stated in the filed flight plan. Who has to be contacted by the pilot immediately?;Local office for aerial supervision.;The flight manager on duty.;Aeronautical Information Service (AIS).;The police department.;Aeronautical Information Service (AIS).;;;;
FPP-003 - Exceeding the maximum allowed aircraft mass is...;not permissible and essentially dangerous.;only relevant if the excess is more than 10 %.;compensated by the pilot's control inputs.;exceptionally permissible to avoid delays.;not permissible and essentially dangerous.;;;;
FPP-004 - The center of gravity has to be located...;between the front and the rear C.G. limit.;behind the rear C.G. limit.;in front of the front C.G. limit.;right of the lateral C. G. limit.;between the front and the rear C.G. limit.;;;;
FPP-005 - The result of a rear C.G. position is...;an increased fuel consumption.;a decrease of range.;a decrease of stability.;an increased stall speed.;a decrease of stability.;;;;
FPP-006 - An aircraft must be loaded and operated in such a way that the center of gravity (CG) stays within the approved limits during all phases of flight. This is done to ensure...;that the aircraft does not exceed the maximum permissible airspeed during a descent.;that the aircraft does not stall.;that the aircraft does not tip over on its tail while it is being loaded.;both stability and controllability of the aircraft.;both stability and controllability of the aircraft.;;;;
FPP-007 - The result of a front C.G. position is: 1. Increase in stability. 2. Increase in fuel consumption. 3. Increase in stall speed. 4. Increase in range.;2, 4;1, 2;1, 2, 3;2, 3, 4;1, 2, 3;;;;
FPP-008 - The basic empty mass of an aircraft includes...;the total mass of the aeroplane ready for a specific type of operation excluding unusable fuel and traffic load. The mass includes items such as crew and crew baggage.;the total mass of an aeroplane ready for a specific type of operation including the required fuel and crew, but excluding traffic load.;the mass of the aeroplane plus standard items such as unusable fuel and other unusable liquids, lubricating oil in engine and auxiliary units, fire extinguishers, pyrotechnics, emergency oxygen equipment, supplementary electronic equipment.;the total mass of the aeroplane ready for a specific type of operation including crew, navigation instruments and engine cowling.;the mass of the aeroplane plus standard items such as unusable fuel and other unusable liquids, lubricating oil in engine and auxiliary units, fire extinguishers, pyrotechnics, emergency oxygen equipment, supplementary electronic equipment.;;;;
FPP-009 - The empty weight and the corresponding center of gravity (CG) of an aircraft are initially determined...;by weighing.;through data provided by the aircraft manufacturer.;by calculation.;for one aircraft of a type only, since all aircraft of the same type have the same mass and CG position.;by weighing.;;;;
FPP-010 - The density of AVGAS 100LL at 15° C is...;0.68 kg/l.;1.0 kg/l.;0.82 kg/l.;0.72 kg/l.;0.72 kg/l.;;;;
FPP-011 - The conversion factor from kilogram [kg] into pounds [lb] is...;kg x 2 = lb.;kg x 2.205 = lb.;kg / 2.205 = lb.;kg x 0.454 = lb.;kg x 2.205 = lb.;;;;
FPP-012 - Baggage and cargo must be properly stowed and fastened, otherwise a shift of the cargo may cause...;continuous attitudes which can be corrected by the pilot using the flight controls.;structural damage, angle of attack stability, velocity stability.;uncontrollable attitudes, structural damage, risk of injuries.;calculable instability if the C.G. is shifting by less than 10 %.;uncontrollable attitudes, structural damage, risk of injuries.;;;;
FPP-013 - Loads must be adequately secured in order to...;carry extra fuel.;allow steep turns.;avoid any centre of gravity (C.G.) movements.;prevent excessive 'g'-loading during the landing flare.;avoid any centre of gravity (C.G.) movements.;;;;
FPP-014 - The total weight of an aeroplane is acting vertically through the...;stagnation point.;neutral point.;center of pressure.;center of gravity.;center of gravity.;;;;
"FPP-015 - The term ""center of gravity"" is defined as...";the heaviest point on an aeroplane.;half the distance between the neutral point and the datum line.;another designation for the neutral point.;the point at which the total mass of the aeroplane is considered to act.;the point at which the total mass of the aeroplane is considered to act.;;;;
FPP-016 - The center of gravity (CG) defines...;the point on the longitudinal axis or its extension from which the centers of gravity of all masses are referenced.;the point through which the force of gravity is said to act on a mass.;the distance from the datum to the position of a mass.;the product of mass and balance arm.;the point through which the force of gravity is said to act on a mass.;;;;
FPP-017 - During an unaccelerated flight...;drag equals lift and thrust equals gravity.;thrust equals the sum of drag and gravity.;thrust equals lift and drag equals gravity.;thrust equals drag and lift equals gravity.;thrust equals drag and lift equals gravity.;;;;
"FPP-018 - The term ""datum"" with regard to a mass and balance calculation defines...";the point on the lateral axis of an aeroplane or its extension from which the centers of gravity of all masses are referenced.;the point on the vertical axis of an aeroplane or its extension from which the centers of gravity of all masses are referenced.;the point on the longitudinal axis of an aeroplane or its extension from which the centers of gravity of all masses are referenced.;the distance from the reference plane to the center of gravity of an aircraft.;the point on the longitudinal axis of an aeroplane or its extension from which the centers of gravity of all masses are referenced.;;;;
"FPP-019 - The term ""moment"" with regard to a mass and balance calculation is referred to as...";sum of a mass and a balance arm.;quotient of a mass and a balance arm.;difference of a mass and a balance arm.;product of a mass and a balance arm.;product of a mass and a balance arm.;;;;
"FPP-020 - The term ""balance arm"" in the context of a mass and balance calculation defines the...";distance from the datum to the center of gravity of a mass.;distance of a mass from the center of gravity.;point on the longitudinal axis of an aeroplane or its extension from which the centers of gravity of all masses are referenced.;point through which the force of gravity is said to act on a mass.;distance from the datum to the center of gravity of a mass.;;;;
FPP-021 - The distance between the center of gravity and the datum is called...;span width.;balance arm.;lever.;torque.;balance arm.;;;;
FPP-022 - The balance arm is the horizontal distance between...;the front C.G. limit and the datum line.;the C.G. of a mass and the rear C.G. limit.;the C.G. of a mass and the datum line.;the front C.G. limit and the rear C.G. limit.;the C.G. of a mass and the datum line.;;;;
