Question,Correct,Answered,CorrectFlag,Count
"ALW-001 - Which of the following documents have to be on board for an international flight?
a) Certificate of aircraft registration
b) Certificate of airworthiness
c) Airworthiness review certificate
d) EASA Form-1
e) Airplane logbook
f) Appropriate papers for every crew member
g) Technical logbook","a, b, c, e, f",,False,0
ALW-002 - Which area could be crossed with certain restrictions?,Restricted area,,False,0
ALW-003 - Where can the type of restriction for a restricted airspace be found?,AIP,,False,0
"ALW-004 - What is the status of the rules and procedures created by the EASA? (e.g. Part-SFCL, Part-MED)",They are part of the EU regulation and legally binding to all EU member states,,False,0
"ALW-005 - What is the validity of the ""Certificate of Airworthiness""?",Unlimited,,False,0
"ALW-006 - What is the meaning of the abbreviation ""ARC""?",Airworthiness Review Certificate,,False,0
"ALW-007 - The ""Certificate of Airworthiness"" is issued by the state...",in which the aircraft is registered.,,False,0
ALW-008 - A pilot license issued in accordance with ICAO Annex 1 is valid in...,all ICAO countries.,,False,0
ALW-009 - What is the subject of ICAO Annex 1?,Flight crew licensing,,False,0
ALW-010 - What is the period of validity of a private pilot license (PPL)?,Unlimited,,False,0
ALW-011 - What is the minimum age to obtain a private pilot license?,17 years,,False,0
ALW-012 - What are the minimum requirements among others to acquire a rating for VFR night flights?,"At least 5 additional flight hours at night, three of them with a flight instructor with at least 1 hour cross-country flight plus 5 solo take-offs and full-stop landings",,False,0
ALW-013 - The validity of a medical examination certificate class 2 for a 62 years old pilot is...,12 Months.,,False,0
ALW-014 - In which way is a SEP (land) rating renewed if you do not meet the required flight time?,A proficiency check with an examiner,,False,0
ALW-015 - The possession of a european PPL(A) entitles the holder to...,act as PIC on non-commercial flights without compensation as well as to receive compensation as a flight instrucor.,,False,0
ALW-016 - What is the minimum age to start a private pilot training at a flight school?,16 years,,False,0
"ALW-017 - What is the meaning of the abbreviation ""SERA""?",Standardized European Rules of the Air,,False,0
"ALW-018 - What is the meaning of the abbreviation ""TRA""?",Temporary Reserved Airspace,,False,0
ALW-019 - What has to be considered when entering an RMZ?,To permanently monitor the radio and if possible to establish radio contact,,False,0
ALW-020 - What condition has to be met during a Special VFR flight?,Visual reference to the terrain,,False,0
ALW-021 - What has to be done before entering a TMZ?,Switch on the transponder and activate mode A and C or mode S,,False,0
"ALW-022 - What is the meaning of an area marked as ""TMZ""?",Transponder Mandatory Zone,,False,0
"ALW-023 - What is the meaning of the abbreviation ""IFR""?",Instrument Flight Rules,,False,0
"ALW-024 - A flight is called a ""visual flight"", if the...",flight is conducted under visual flight rules.,,False,0
"ALW-025 - What is the meaning of the abbreviation ""VMC""?",Visual meteorological conditions,,False,0
ALW-026 - Two engine-driven aircraft are flying on crossing courses at the same altitude. Which one has to divert?,Both have to divert to the right,,False,0
ALW-027 - Two aeroplanes are flying on crossing tracks. Which one has to divert?,The aircraft which flies from right to left has the right of priority,,False,0
"ALW-028 - In airspace ""D"" a Boeing 737 and a Cessna 152 are flying on crossing courses. Which aeroplane has to divert?","The aeroplane flying from right to left has priority, the other one has to divert",,False,0
