Question,Correct,Answered,CorrectFlag,Count
AGK-001 - The thickness of the wing is defined as the distance between the lower and the upper side of the wing at the...,thickest part of the wing.,,False,0
AGK-002 - How is referred to a tubular steel construction with a non self-supporting skin?,Grid construction,,False,0
AGK-003 - Primary fuselage structures of wood or metal planes are usually made up by what components?,Frames and stringer,,False,0
AGK-004 - Which wing configuration is shown in the attachment? See figure (AGK-002),Strut-braced high wing,,False,0
AGK-005 - A construction made of frames and stringer with a supporting skin is called...,Semi-monocoque construction.,,False,0
AGK-006 - Which tail assembly is shown in the attachment? See figure (AGK-003),T-tail,,False,0
AGK-007 - What are the major components of an aircraft's tail?,Horizontal tail and vertical tail,,False,0
AGK-008 - The sandwich structure consists of two...,thin layers and a light core material.,,False,0
AGK-009 - Which constructional elements give the wing its profile shape?,Rips,,False,0
"AGK-010 - The load factor ""n"" describes the relationship between...",lift and weight.,,False,0
AGK-011 - Which are the advantages of sandwich structures?,"Low weight, high stiffness, high stability, and high strength",,False,0
AGK-012 - Which of the stated materials shows the highest strength?,Carbon fiber re-inforced plastic,,False,0
AGK-013 - What needs to be considered if permissible limitations were exceeded?,The helicopter must be inspected by a qualified engineer before the next flight,,False,0
AGK-014 - Reasons for dents in the helicopter structure are...,hard landing or excessive stress.,,False,0
AGK-015 - What kind of hydraulic oil is used in aeroplane systems today?,Synthetic oil,,False,0
AGK-016 - Number 1 on the gear designates the... See figure (AGK-005),fork.,,False,0
AGK-017 - The fuselage structure may be damaged by...,exceeding the manoeuvering speed in heavy gusts.,,False,0
AGK-018 - Number 2 on the gear designates the... See figure (AGK-005),movable inner cylinder.,,False,0
AGK-019 - How is the nose or tail wheel usually controlled on small aircraft and motor gliders?,By the pedals,,False,0
AGK-020 - Where is the brake system installed to slow the aircraft on ground?,Only on the main gear,,False,0
AGK-021 - What kind of control surface is connected with the nose wheel?,Rudder,,False,0
AGK-022 - What is checked by the marking in the attachment? See figure (AGK-006),The correct postion of the tire relative to the rim,,False,0
AGK-023 - About how many axes does an aircraft move and how are these axes called?,"3. vertical axis, lateral axis, longitudinal axis",,False,0
AGK-024 - A movement around the longitudinal axis is primarily initiated by the...,ailerons.,,False,0
AGK-025 - How are the flight controls on a small single-engine piston aircraft normally controlled and actuated?,Manually through rods and control cables,,False,0
AGK-026 - What are the primary and the secondary effects of a rudder input to the left?,"Primary: yaw to the left, Secondary: roll to the left",,False,0
AGK-027 - What is the effect of pulling the control yoke or stick backwards?,"The aircraft's tail will produce an increased downward force, causing the aircraft's nose to rise",,False,0
AGK-028 - What happens to a helicopter during cruise when the stick is moved forward without other corrections?,The speed increases and the sink rate increases,,False,0
AGK-029 - Which of the following options states all primary flight controls of an aircraft?,"Elevator, rudder, aileron",,False,0
AGK-030 - What is the purpose of the secondary flight controls?,To improve the performance characteristics of an aircraft and relieve the pilot of excessive control forces,,False,0
AGK-031 - What is the purpose of a ground adjustable trim tab?,It is a non-movable metal tab on a flight control which is adjusted on the ground to optimize the inflight characteristics of an aircraft,,False,0
AGK-032 - The trim wheel or lever in the cockpit is moved aft by the pilot. What effect does this action have on the trim tab and on the elevator?,"The trim tab moves down, the elevator moves up",,False,0
"AGK-033 - When trimming an aircraft nose up, in which direction does the trim tab move?",It moves down,,False,0
AGK-034 - How does a balance tab move in relation to the flight control surface that it is coupled with?,In the opposite direction,,False,0
AGK-035 - The trim is used to...,adapt the control force.,,False,0
AGK-036 - Which of the following are an aircraft's secondary flight controls?,"Wing flaps, leading edge devices, spoilers or speedbrakes, trim systems",,False,0
AGK-037 - What has to be considered during refueling?,"No open fires, obey smoking ban and apply ground cables",,False,0
AGK-038 - The primer is...,an auxiliary pump in the fuel system to facilitate engine starting.,,False,0
AGK-039 - What is the purpose of the tank ventilation?,To prevent underpressure caused by fuel consumption,,False,0
"AGK-040 - An aeroplane's current supply is carried out by the: 1. Battery, 2. Generator, 3. Relay, 4. Circuit breaker",1 and 2,,False,0
AGK-041 - What is the unit for voltage?,Volt,,False,0
AGK-042 - What is the unit for electrical power?,Watt,,False,0
AGK-043 - What is the reason for static dischargers on aircraft?,To discharge static charging during flight,,False,0
AGK-044 - What must be considered if the alternator fails in a helicopter?,No change as long as the battery provides enough power,,False,0
"AGK-045 - When using direct current, electrically driven flight instruments are marked with...",DC.,,False,0
AGK-046 - What devices can be affected by a failure of the electrical system in a helicopter?,"Radio equipment, navigation equipment and gyros",,False,0
AGK-047 - Which cylinder arragement is commonly used on small aircrafts and motor gliders?,Horizontally opposed engine,,False,0
AGK-048 - Which part of the cycle of a four-stroke Otto engine can be seen in the attachment? See figure (AGK-007),First stroke - induction,,False,0
