Question,Correct,Answered,CorrectFlag,Count
COM-001 - In which situations should a pilot use blind transmissions?,"When no radio communication can be established with the appropriate aeronautical station, but when evidence exists that transmissions are received at that ground unit",,False,0
COM-002 - Leaving a control frequency (except when reaching the final parking position)...,must be approved.,,False,0
"COM-003 - Which abbreviation is used for the term ""abeam""?",ABM,,False,0
"COM-004 - Which abbreviation is used for the term ""visual flight rules""?",VFR,,False,0
"COM-005 - Which abbreviation is used for the term ""obstacle""?",OBST,,False,0
"COM-006 - What does the abbreviation ""FIS"" stand for?",Flight information service,,False,0
"COM-007 - What does the abbreviaton ""FIR"" stand for?",Flight information region,,False,0
"COM-008 - What does the abbreviation ""H24"" stand for?",24 h service,,False,0
"COM-009 - What does the abbreviation ""HX"" stand for?",No specific opening hours,,False,0
COM-010 - The altimeter has to be set to what value in order to show zero on ground?,QFE,,False,0
COM-011 - Which altitude is displayed on the altimeter when set to a specific QNH?,Altitude in relation to mean sea level,,False,0
COM-012 - Which altitude is displayed on the altimeter when set to a specific QFE?,Altitude in relation to the air pressure at the reference airfield,,False,0
"COM-013 - What does the abbreviation ""QDR"" stand for?",Magnetic bearing from the station,,False,0
"COM-014 - What does the abbreviation ""QUJ"" stand for?",True bearing to the station,,False,0
"COM-015 - What does the abbreviation ""QTE"" stand for?",True bearing from the station,,False,0
COM-016 - Which Q-code is used for the magnetic bearing from the station?,QDR,,False,0
COM-017 - Which Q-code is used for the true bearing from the station?,QTE,,False,0
COM-018 - Which Q-code is used for the true bearing to the station?,QUJ,,False,0
COM-019 - Which of the listed radiotelephony messages has a higher priority than a flight safety message?,Communication related to direction finding,,False,0
COM-020 - What is the correct term for a message used for air traffic control?,Flight safety message,,False,0
COM-021 - Distress messages are messages...,concerning aircraft and their passengers which face a grave and imminent threat and require immediate assistance.,,False,0
COM-022 - Urgency messages are messages...,"concerning the safety of an aircraft, a watercraft or some other vehicle or person in sight.",,False,0
COM-023 - Regularity messages are messages...,concerning the operation or maintenance of facilities essential for the safety or regularity of aircraft operation.,,False,0
COM-024 - Which of the following messages has the highest priority?,Request QDM,,False,0
COM-025 - What is the correct way to transmit the call sign HB-YKM?,Hotel Bravo Yankee Kilo Mike,,False,0
COM-026 - What is the correct way to transmit the call sign OE-JVK?,Oscar Echo Juliett Victor Kilo,,False,0
COM-027 - An altitude of 4500 ft is transmitted as...,four tousand five hundred.,,False,0
COM-028 - A heading of 285 degrees is correctly transmitted as...,two eight five.,,False,0
COM-029 - A frequency of 119.500 MHz is correctly transmitted as...,one one niner decimal five.,,False,0
"COM-030 - The directional information ""12 o'clock"" is correctly transmitted as...",Twelve o'clock.,,False,0
COM-031 - Times are transmitted as...,UTC.,,False,0
"COM-032 - If there is any doubt about ambiguity, a time of 1620 is to be transmitted as...",one six two zero.,,False,0
"COM-033 - What is the meaning of the phrase ""Roger""?",I have received all of your last transmission,,False,0
"COM-034 - What is the meaning of the phrase ""Correction""?",An error has been made in this transmission. The correct version is...,,False,0
"COM-035 - What is the meaning of the phrase ""Approved""?",Permission for proposed action is granted,,False,0
