Question,Correct,Answered,CorrectFlag,Count
FPP-001 - A flight plan has been filed for a flight departing at an uncontrolled aerodrome. When has the actual take-off time been transmitted to ATC?,Immediately after take-off.,,False,3
"FPP-002 - During a flight with a flight plan submitted, landing is conducted at an airfield other than the destination stated in the filed flight plan. Who has to be contacted by the pilot immediately?",Aeronautical Information Service (AIS).,,False,3
FPP-003 - Exceeding the maximum allowed aircraft mass is...,not permissible and essentially dangerous.,,False,3
FPP-004 - The center of gravity has to be located...,between the front and the rear C.G. limit.,,False,3
FPP-005 - The result of a rear C.G. position is...,a decrease of stability.,,False,3
FPP-006 - An aircraft must be loaded and operated in such a way that the center of gravity (CG) stays within the approved limits during all phases of flight. This is done to ensure...,both stability and controllability of the aircraft.,,False,3
FPP-007 - The result of a front C.G. position is: 1. Increase in stability. 2. Increase in fuel consumption. 3. Increase in stall speed. 4. Increase in range.,"1, 2, 3",,False,3
FPP-008 - The basic empty mass of an aircraft includes...,"the mass of the aeroplane plus standard items such as unusable fuel and other unusable liquids, lubricating oil in engine and auxiliary units, fire extinguishers, pyrotechnics, emergency oxygen equipment, supplementary electronic equipment.",,False,3
FPP-009 - The empty weight and the corresponding center of gravity (CG) of an aircraft are initially determined...,by weighing.,,False,3
FPP-010 - The density of AVGAS 100LL at 15° C is...,0.72 kg/l.,,False,3
FPP-011 - The conversion factor from kilogram [kg] into pounds [lb] is...,kg x 2.205 = lb.,,False,2
"FPP-012 - Baggage and cargo must be properly stowed and fastened, otherwise a shift of the cargo may cause...","uncontrollable attitudes, structural damage, risk of injuries.",,False,2
FPP-013 - Loads must be adequately secured in order to...,avoid any centre of gravity (C.G.) movements.,,False,2
FPP-014 - The total weight of an aeroplane is acting vertically through the...,center of gravity.,,False,2
"FPP-015 - The term ""center of gravity"" is defined as...",the point at which the total mass of the aeroplane is considered to act.,,False,2
FPP-016 - The center of gravity (CG) defines...,the point through which the force of gravity is said to act on a mass.,,False,2
FPP-017 - During an unaccelerated flight...,thrust equals drag and lift equals gravity.,,False,2
"FPP-018 - The term ""datum"" with regard to a mass and balance calculation defines...",the point on the longitudinal axis of an aeroplane or its extension from which the centers of gravity of all masses are referenced.,,False,2
"FPP-019 - The term ""moment"" with regard to a mass and balance calculation is referred to as...",product of a mass and a balance arm.,,False,2
"FPP-020 - The term ""balance arm"" in the context of a mass and balance calculation defines the...",distance from the datum to the center of gravity of a mass.,,False,2
FPP-021 - The distance between the center of gravity and the datum is called...,balance arm.,,False,2
FPP-022 - The balance arm is the horizontal distance between...,the C.G. of a mass and the datum line.,,False,2
FPP-023 - The required data for a mass and balance calculation including masses and balance arms can be found in the...,mass and balance section of the pilot's operating handbook of this particular aircraft.,,False,2
"FPP-024 - When preparing to carry out the weighing procedure on an aircraft, which of the following is required?",Drain all usable fuel,,False,2
FPP-025 - Which section of the flight manual describes the basic empty mass of an aircraft?,Weight and balance,,False,2
FPP-026 - The position of the center of gravity equals...,142 in.,,False,2
FPP-027 - What mass equals 102 litres of Avgas 100LL?,74 kg,,False,2
"FPP-028 - Calculated take-off mass = 2300 lbs, calculated CG = 95.75 in, fuel burn = 170 lbs on station 87.00 in. Where is the CG situated after the landing?",96.45 in,,False,2
"FPP-029 - Given values: Calculated take-off mass = 746 kg, calculated CG = 37.1 cm, fuel burn = 30.5 l on station 45 cm. Where is the CG situated after the landing?",36.9 cm,,False,2
"FPP-030 - Calculated take-off mass = 1082 kg, calculated CG = 0.254 m, fuel burn = 55 l on station 0.40 m. Where is the CG situated after the landing?",24.8 cm,,False,2
FPP-031 - The position of the center of gravity (including fuel) equals...,37.1 cm.,,False,2
"FPP-032 - For the purpose of a flight preparation, the pilot calculates a total take-off mass of 750 kg and a total moment of 625 mmkg. Which cross marks the center of gravity (CG)?",1,,False,2
FPP-033 - For the purpose of a flight preparation the pilot calculates a total take-off mass of 725 kg and a total moment of 650 mmkg. Which cross marks the center of gravity (CG)?,3,,False,2
FPP-034 - For the purpose of a flight preparation the pilot calculates a total take-off mass of 775 kg and a total moment of 700 mmkg. Which cross marks the center of gravity (CG)?,4,,False,2
FPP-035 - Which is the most recently determined empty mass and the associated center of gravity (CG) arm from the aircraft documentation?,"498 kg, 280.59 m",,False,2
FPP-036 - How does the aircraft configuration influence take-off performance while all other parameters remaining constant?,Aircraft A has a higher flap setting than aircraft B,,False,2
FPP-037 - How does aircraft flap configuration influence the take-off performance?,"A higher flap setting decreases ground roll and lift-off speed, but also climb performance",,False,2
FPP-038 - How does wind affect the take-off performance?,Tailwind reduces the relative wind on the airfoil. The take-off distance will increase,,False,2
"FPP-039 - It is possible that the surface wind speed at an airport is reduced due to friction. When a surface area with a minor tailwind condition is left during the initial climb, the pilot might expect...",a decrease in airspeed and rate of climb due to increasing tailwind.,,False,2
FPP-040 - Which factor shortens landing distance?,Strong headwind,,False,2
FPP-041 - Unless the aircraft is equipped and certified accordingly...,"flight into known or forecast icing conditions is prohibited. Should the aircraft enter an area of icing conditions inadvertently, it should be left without delay.",,False,2
FPP-042 - The speed Vx means...,that a given altitude is reached within minimum distance.,,False,2
FPP-043 - The angle of descent is defined as...,"the angle between a horizontal plane and the actual flight path, expressed in degrees [°].",,False,2
"FPP-044 - The term ""steady flight"" is defined as...","unaccelerated flight. The four forces thrust, drag, lift, and weight are in equilibrium.",,False,2
FPP-045 - The speed Vy is defined as...,best rate of climb.,,False,2
FPP-046 - The speed VFE is defined as...,maximum flap extended speed.,,False,2
FPP-047 - The speed VS0 is defined as...,stalling speed or minimum steady flight speed in landing configuration.,,False,2
FPP-048 - The beginning of the green arc (2) indicates which airspeed?,VS1: Stall speed with flaps up,,False,2
FPP-049 - The end of the green arc (4) indicates which airspeed?,VNO: Maximum speed for normal operations,,False,2
FPP-050 - The red marking at the end of the yellow arc (5) indicates which airspeed?,VNE: Never-exceed,,False,2
FPP-051 - Which climb speed may be used to optimize the rate of climb (e.g. to reach a desired altitude within minimum time)?,"Vy, the best rate of climb speed",,False,2
"FPP-052 - For a take-off from runway 22 and a reported wind of 250°/10 kt, the longitudinal wind component equals...",9 kt headwind.,,False,2
"FPP-053 - Given the following conditions, the take-off distance equals... Outside air temperature: -20° C, Pressure Altitude: 5000 ft, Aeroplane mass: 750 kg, Headwind: 10 kt",380 m.,,False,2
"FPP-054 - A pilot wants to take off on runway 36, the reported wind is 240 degrees, 12 knots. What is the value of the wind components acting on the aircraft on take-off and landing?","Crosswind from the left 10.4 kt., Tailwind 6 kt.",,False,2
"FPP-055 - What is the take-off distance at 750 kg take-off mass, standard (ISA) conditions at an elevation of 4000 ft with 5 kt tailwind?",900 m,,False,2
