Question,Correct,Answered,CorrectFlag,Count
"MET-001 - What clouds and weather may result from an humid and instable air mass, that is pushed against a chain of mountains by the predominant wind and forced to rise?",Embedded CB with thunderstorms and showers of hail and/or rain.,,False,0
"MET-002 - What type of fog emerges if humid and almost saturated air, is forced to rise upslope of hills or shallow mountains by the prevailing wind?",Orographic fog,,False,0
"MET-003 - What situation is called ""over-development"" in a weather report?",Vertical development of Cumulus clouds to rain showers,,False,0
"MET-004 - What is the gas composition of ""air""?",Oxygen 21 % Nitrogen 78 % Noble gases / carbon dioxide 1 %,,False,0
MET-005 - Weather phenomena are most common to be found in which atmospheric layer?,Troposphere,,False,0
"MET-006 - What is the mass of a ""cube of air"" with the edges 1 m long, at MSL according ISA?","1,225 kg",,False,0
MET-007 - At what rate does the temperature change with increasing height according to ISA (ICAO Standard Atmosphere) within the troposphere?,Decreases by 2° C / 1000 ft,,False,0
MET-008 - What is the mean height of the tropopause according to ISA (ICAO Standard Atmosphere)?,11000 m,,False,0
"MET-009 - The term ""tropopause"" is defined as...",the boundary area between the troposphere and the stratosphere.,,False,0
MET-010 - Temperatures will be given by meteorological aviation services in Europe in which unit?,Degrees Centigrade (° C),,False,0
"MET-011 - What is meant by ""inversion layer""?",An atmospheric layer where temperature increases with increasing height,,False,0
"MET-012 - What is meant by ""isothermal layer""?",An atmospheric layer with constant temperature with increasing height,,False,0
MET-013 - The temperature lapse rate with increasing height within the troposphere according ISA is...,"0,65° C / 100 m.",,False,0
MET-014 - Which process may result in an inversion layer at about 5000 ft (1500 m) height?,Widespread descending air within a high pressure area,,False,0
MET-015 - An inversion layer close to the ground can be caused by...,ground cooling during the night.,,False,0
MET-016 - What is the ISA standard pressure at FL 180 (5500 m)?,500 hPa,,False,0
MET-017 - The pressure which is measured at a ground station and reduced to mean sea level (MSL) by means of the actual atmospheric conditions is called...,QFF.,,False,0
MET-018 - Which processes result in decreasing air density?,"Increasing temperature, decreasing pressure",,False,0
MET-019 - The pressure at MSL in ISA conditions is...,1013.25 hPa.,,False,0
MET-020 - The height of the tropopause of the International Standard Atmosphere (ISA) is at...,36000 ft.,,False,0
MET-021 - The barometric altimeter indicates height above...,a selected reference pressure level.,,False,0
MET-022 - The altimeter can be checked on the ground by setting...,QNH and comparing the indication with the airfield elevation.,,False,0
MET-023 - The barometric altimeter with QFE setting indicates...,height above the pressure level at airfield elevation.,,False,0
MET-024 - The barometric altimeter with QNH setting indicates...,height above MSL.,,False,0
