Question,Correct,Answered,CorrectFlag,Count
NAV-001 - The rotational axis of the Earth runs through the...,geographic North Pole and on the geographic South Pole.,,False,0
NAV-002 - Which statement is correct with regard to the polar axis of the Earth?,The polar axis of the Earth crosses the geographic South Pole and the geographic North Pole and is perpendicular to the plane of the equator.,,False,0
"NAV-003 - Which approximate, geometrical form describes the shape of the Earth best for navigation systems?",Ellipsoid.,,False,0
NAV-004 - Which statement about a rhumb line is correct?,A rhumb line cuts each meridian at the same angle.,,False,0
NAV-005 - The shortest distance between two points on Earth is represented by a part of...,a great circle.,,False,0
NAV-006 - The circumference of the Earth at the equator is approximately...,21600 NM.,,False,0
NAV-007 - What is the difference in latitude between A (12°53'30''N) and B (07°34'30''S)?,20°28'00'',,False,0
NAV-008 - Where are the two polar circles?,23.5° north and south of the poles.,,False,0
NAV-009 - What is the distance between the parallels of latitude 48°N and 49°N along a meridian line?,60 NM.,,False,0
NAV-010 - What distance corresponds to one degree difference in latitude along any degree of longitude?,60 NM.,,False,0
NAV-011 - Point A on the Earth's surface lies exactly on the parallel of latitude of 47°50'27''N. Which point is exactly 240 NM north of A?,51°50'27'N.,,False,0
NAV-012 - What is the distance between the two parallels of longitude 150°E and 151°E along the equator?,60 NM.,,False,0
NAV-013 - What is the great circle distance between two points A and B on the equator when the difference between the two associated meridians is exactly one degree of longitude?,60 NM.,,False,0
"NAV-014 - Assume two arbitrary points A and B on the same parallel of latitude, but not on the equator. Point A is located on 010°E and point B on 020°E. The rumb line distance between A and B is always...",less than 600 NM.,,False,0
NAV-015 - What is the difference in time when the sun moves 20° of longitude?,1:20 h.,,False,0
NAV-016 - What is the difference in time when the sun moves 10° of longitude?,0:40 h.,,False,0
NAV-017 - The sun moves 10° of longitude. What is the difference in time?,0.66 h.,,False,0
"NAV-018 - With Central European Summer Time (CEST) given as UTC+2, what UTC time corresponds to 1600 CEST?",1400 UTC.,,False,0
NAV-019 - UTC is...,an obligatory time used in aviation.,,False,0
"NAV-020 - With Central European Time (CET) given as UTC+1, what UTC time corresponds to 1700 CET?",1600 UTC.,,False,0
"NAV-021 - Vienna (LOWW) is located at 016° 34'E, Salzburg (LOWS) at 013° 00'E. The latitude of both positions can be considered as equal. What is the difference of sunrise and sunset times, expressed in UTC, between Wien and Salzburg?",In Vienna the sunrise and sunset are about 14 minutes earlier than in Salzburg.,,False,0
NAV-022 - The term 'civil twilight' is defined as...,the period of time before sunrise or after sunset where the midpoint of the sun disk is 6 degrees or less below the true horizon.,,False,0
"NAV-023 - Given: WCA: -012°; TH: 125°; MC: 139°; DEV: 002°E What are: TC, MH und CH?",TC: 137°. MH: 127°. CH: 125°.,,False,0
NAV-024 - Given: TC: 179°; WCA: -12°; VAR: 004° E; DEV: +002° What are MH and MC?,MH: 163°. MC: 175°.,,False,0
NAV-025 - The angle between the true course and the true heading is called...,WCA.,,False,0
NAV-026 - The angle between the magnetic course and the true course is called...,variation.,,False,0
NAV-027 - The term ‚magnetic course' (MC) is defined as...,the angle between magnetic north and the course line.,,False,0
NAV-028 - The term 'True Course' (TC) is defined as...,the angle between true north and the course line.,,False,0
NAV-029 - Given: TC: 183°; WCA: +011°; MH: 198°; CH: 200° What are TH and perspective: 194°. VAR: 004° W,TH: 194°. VAR: 004° W,,False,0
NAV-030 - Given: TC: 183°; WCA: +011°; MH: 198°; CH: 200° What are the TH and the DEV?,TH: 194°. DEV: -002°.,,False,0
NAV-031 - Given: TC: 183°; WCA: +011°; MH: 198°; CH: 200° What are the VAR and the DEV?,VAR: 004° W. DEV: -002°.,,False,0
NAV-032 - Where does the inclination reach its lowest value?,At the magnetic equator.,,False,0
NAV-033 - The angle between compass north and magnetic north is called...,deviation.,,False,0
NAV-034 - Which direction corresponds to 'compass north' (CN)?,The direction to which the direct reading compass aligns due to earth's and aircraft's magnetic fields.,,False,0
"NAV-035 - The term 'isogonal' or 'isogonic line' is defined as a line on an aeronautical chart, connecting all points with the same value of...",variation.,,False,0
"NAV-036 - The term 'agonic line' is defined as a line on Earth or an aeronautical chart, connecting all points with the...",variation of 0°.,,False,0
NAV-037 - Which are the official basic units for horizontal distances used in aeronautical navigation and their abbreviations?,"Nautical miles (NM), kilometers (km)",,False,0
NAV-038 - 1000 ft equal...,300 m.,,False,0
NAV-039 - 5500 m equal...,18000 ft.,,False,0
NAV-040 - Which of the items on the attached checklist are related to the direct reading compass?,Gyro and Turning Instruments.,,False,0
NAV-041 - What could be a reason for changing the runway indicators at aerodromes (e.g. from runway 06 to runway 07)?,The magnetic variation of the runway location has changed.,,False,0
NAV-042 - Electronic devices on board of an aeroplane have influence on the...,direct reading compass.,,False,0
NAV-043 - Which are the properties of a Mercator chart?,"The scales increases with latitude, great circles are depicted as curved lines, rhumb lines are depicted as straight lines.",,False,0
NAV-044 - How are rhumb lines and great circles depicted on a direct Mercator chart?,Rhumb lines: straight lines Great circles: curved lines.,,False,0
NAV-045 - Which are the properties of a Lambert conformal chart?,The chart is conformal and nearly true to scale.,,False,0
NAV-046 - Which lines have to be used by the pilot to determine the aircraft's position?,True bearings (QTE),,False,0
"NAV-047 - What is the radial from VOR Brünkendorf (BKD) (53°02'N, 011°33'E) to Pritzwalk (EDBU) (53°11'N, 12°11'E)?",068°,,False,0
NAV-048 - The distance between two airports is 220 NM. On an aeronautical navigation chart the pilot measures 40.7 cm for this distance. The chart scale is...,1 : 1000000.,,False,0
"NAV-049 - Given the following information, what is the aircraft position at the cross bearing? VOR Hamburg (HAM) (53°41'N, 010°12'E): Radial 119° VOR Brünkendorf (BKD) (53°02'N, 011°33'E): Radial 320°","53°20'N, 11°10'E",,False,0
"NAV-050 - What is the distance from VOR Brünkendorf (BKD) (53°02'N, 011°33'E) to Pritzwalk (EDBU) (53°11'N, 12°11'E)?",24 NM,,False,0
NAV-051 - A distance of 7.5 cm on an aeronautical chart represents a distance of 60.745 NM in reality. What is the chart scale?,1 : 1500000,,False,0
