Question,Correct,Answered,CorrectFlag,Count
"PFA-001 - Compared to trailing edge flaps, leading edge devices like Slots...",produce less drag while allowing a higher angle of attack.,,False,0
PFA-002 - Stabilization around the lateral axis during cruise is achieved by the...,horizontal stabilizer.,,False,0
PFA-003 - Flying with speeds higher than the never-exceed-speed (vNE) may result in...,flutter and mechanically damaging the wings.,,False,0
PFA-004 - What effects typically result from propeller icing?,"Reduced power output, decreasing RPM.",,False,0
"PFA-005 - During a straight and steady climb, which force acts additionally, and in the same direction as the drag force, resulting in more power required for climb than for horizontal flight?",A component of the weight force along the rearward flight path.,,False,0
PFA-006 - The static pressure of gases work...,in all directions.,,False,0
"PFA-007 - Bernoulli's equation for frictionless, incompressible gases states that...",total pressure = dynamic pressure + static pressure.,,False,0
"PFA-008 - If surrounded by airflow (v>0), any arbitrarily shaped body produces...",drag.,,False,0
PFA-009 - All aerodynamic forces can be considered to act on a single point. This point is called...,center of pressure.,,False,0
PFA-010 - The center of pressure is the theoretical point of origin of...,all aerodynamic forces of the profile.,,False,0
PFA-011 - Number 2 in the drawing corresponds to the...,chord.,,False,0
PFA-012 - Number 3 in the drawing corresponds to the...,camber line.,,False,0
PFA-013 - The angle of attack is the angle between...,the chord line and the oncoming airflow.,,False,0
PFA-014 - The ratio of span and mean chord length is referred to as...,aspect ratio.,,False,0
PFA-015 - Which point on the aerofoil is represented by number 3?,Transition point,,False,0
PFA-016 - Which point on the aerofoil is represented by number 4?,Separation point,,False,0
PFA-017 - Wing tip vortex development begins during which phase of flight?,When lift is being generated during rotation,,False,0
PFA-018 - Which point on the aerofoil is represented by number 1?,Stagnation point,,False,0
PFA-019 - What pattern can be found at the stagnation point?,Streamlines are divided into airflow above and below the profile,,False,0
PFA-020 - What pressure pattern can be observed at a lift-generating wing profile at positive angle of attack?,"Low pressure is created above, higher pressure below the profile",,False,0
PFA-021 - The position of the center of pressure at a positively shaped profile...,moves to the trailing edge while the angle of attack becomes smaller.,,False,0
PFA-022 - In which way does the position of the center of pressure move at a positively shaped profile with increasing angle of attack?,It moves forward until reaching the critical angle of attack,,False,0
PFA-023 - Which statement about lift and angle of attack is correct?,Increasing the angle of attack too far may result in a loss of lift and an airflow separation,,False,0
PFA-024 - Which statement about the airflow around an aerofoil is correct if the angle of attack increases?,The stagnation point moves down,,False,0
PFA-025 - Which statement about the airflow around an aerofoil is correct if the angle of attack decreases?,The center of pressure moves aft,,False,0
PFA-026 - The angle (alpha) shown in the figure is referred to as...,angle of attack.,,False,0
"PFA-027 - In order to improve the stall characteristics of an aircraft, the wing is twisted outwards (the angle of incidence varies spanwise). This is known as...",geometric washout.,,False,0
